low,mid,high,high2,minmaxlow,minmaxmid,minmaxhigh,minmaxhigh2
1.2540001,-0.19333333,-0.52166665,-0.87900007,1.6133333,0.14466667,-0.38366666,-0.8523333
1.2709999,0.011999997,-0.43233338,-0.88500005,0.8886668,-0.243,-0.5476666,-0.8893334
1.2343334,-0.069666654,-0.48166662,-0.8750001,,,,
1.4729999,0.032999992,-0.43699998,-0.88699996,,,,
1.6076669,-0.14299998,-0.47566667,-0.86500007,,,,
1.3253334,-0.16533332,-0.5159999,-0.871,,,,
1.2106665,0.10133334,-0.39466664,-0.85533327,,,,
1.5006664,0.067999996,-0.4499999,-0.8776666,,,,
1.0106666,0.02833333,-0.43033326,-0.86933327,,,,
1.5489999,-0.13933332,-0.46733335,-0.85733336,,,,
1.3453332,-0.07666667,-0.4883333,-0.8806666,,,,
1.5536666,0.12866667,-0.42433327,-0.8563332,,,,
1.427,-0.043000005,-0.47133338,-0.8753334,,,,
1.503,0.027999997,-0.39499998,-0.8880001,,,,
1.5126668,-0.243,-0.5476666,-0.8736667,,,,
1.0926666,0.009666661,-0.44400004,-0.8646667,,,,
1.3769997,0.05733333,-0.40366662,-0.86466676,,,,
1.5086668,0.02933333,-0.43833324,-0.868,,,,
1.2246666,0.14466667,-0.38366666,-0.8689999,,,,
1.6133333,-0.21599999,-0.5213333,-0.8806666,,,,
1.1740001,0.013333337,-0.446,-0.8893334,,,,
1.5143331,1.00E-03,-0.41566664,-0.8556667,,,,
1.4300001,-0.12333336,-0.43533337,-0.8653335,,,,
1.5090001,0.062000003,-0.4146667,-0.889,,,,
1.5243332,-0.13933332,-0.4793332,-0.87566674,,,,
0.8886668,0.07733334,-0.43266666,-0.8616667,,,,
1.5126666,-0.0039999993,-0.45299998,-0.8826667,,,,
1.3126665,-0.10166667,-0.41899997,-0.86433345,,,,
0.9033334,-0.058666665,-0.43166667,-0.885,,,,
1.3260002,0.13066667,-0.44499996,-0.8523333,,,,
1.1429999,0.04,-0.41266668,-0.87533337,,,,
1.067,-0.115,-0.49199998,-0.8739998,,,,
1.5363334,-0.033,-0.42333326,-0.8746668,,,,